checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
step50000-tokens210B,Arabic,m_mmlu,m_mmlu_ar,0.2607518564356436,5,0.25,18.168,2.737,0.791777,0.599,0.7332,0.759,0.7925,0.8181,0.8453,0.8867,0.9225,0.959,layer_31,last
step100000-tokens420B,Arabic,m_mmlu,m_mmlu_ar,0.23978960396039603,5,0.25,5.1406,1.5783,0.809141,0.7948,0.8628,0.8769,0.8949,0.9084,0.9226,0.9439,0.9619,0.9802,layer_31,last
step150000-tokens630B,Arabic,m_mmlu,m_mmlu_ar,0.3087871287128713,5,0.25,4.492,1.5157,0.821577,0.8113,0.877,0.891,0.9075,0.9196,0.9322,0.9511,0.9669,0.9829,layer_31,last
step200000-tokens840B,Arabic,m_mmlu,m_mmlu_ar,0.341197400990099,5,0.25,3.7963,1.4195,0.824354,0.8387,0.8903,0.9022,0.9171,0.928,0.9393,0.9562,0.9704,0.9847,layer_31,last
step250000-tokens1050B,Arabic,m_mmlu,m_mmlu_ar,0.320467202970297,5,0.25,5.6158,1.633,0.829199,0.7812,0.8541,0.8699,0.8889,0.9028,0.9179,0.9406,0.9598,0.9793,layer_31,last
step300000-tokens1260B,Arabic,m_mmlu,m_mmlu_ar,0.36177289603960394,5,0.25,5.1134,1.5742,0.82835,0.7959,0.8627,0.8775,0.8956,0.9086,0.9226,0.9441,0.9622,0.9806,layer_31,last
step350000-tokens1470B,Arabic,m_mmlu,m_mmlu_ar,0.3688118811881188,5,0.25,4.0135,1.4439,0.829636,0.8315,0.8845,0.8973,0.9125,0.9236,0.9355,0.9534,0.9685,0.9838,layer_31,last
step400000-tokens1680B,Arabic,m_mmlu,m_mmlu_ar,0.38374071782178215,5,0.25,4.7221,1.5183,0.827682,0.8107,0.8679,0.8819,0.8989,0.9114,0.9251,0.9458,0.9634,0.9812,layer_31,last
step450000-tokens1890B,Arabic,m_mmlu,m_mmlu_ar,0.3911664603960396,5,0.25,4.9846,1.5439,0.832799,0.8039,0.8624,0.8767,0.894,0.907,0.9215,0.9432,0.9617,0.9804,layer_31,last
step500000-tokens2100B,Arabic,m_mmlu,m_mmlu_ar,0.39758663366336633,5,0.25,5.3973,1.5751,0.831315,0.796,0.8528,0.8676,0.8858,0.8993,0.9146,0.9382,0.9582,0.9786,layer_31,last
step550000-tokens2310B,Arabic,m_mmlu,m_mmlu_ar,0.39449257425742573,5,0.25,5.5364,1.5966,0.834529,0.7905,0.8511,0.8667,0.8855,0.8992,0.9147,0.9383,0.9584,0.9787,layer_31,last
step600000-tokens2520B,Arabic,m_mmlu,m_mmlu_ar,0.4040841584158416,5,0.25,6.1824,1.6699,0.831414,0.7726,0.8413,0.858,0.8778,0.8925,0.9091,0.9344,0.9557,0.9773,layer_31,last
step650000-tokens2730B,Arabic,m_mmlu,m_mmlu_ar,0.38907797029702973,5,0.25,7.388,1.7807,0.838365,0.7479,0.8222,0.8406,0.8626,0.8792,0.8978,0.9262,0.9502,0.9747,layer_31,last
step700000-tokens2940B,Arabic,m_mmlu,m_mmlu_ar,0.3941831683168317,5,0.25,5.3711,1.5762,0.835467,0.7956,0.8531,0.8684,0.8868,0.9005,0.9158,0.9392,0.9589,0.979,layer_31,last
step750000-tokens3150B,Arabic,m_mmlu,m_mmlu_ar,0.4134436881188119,5,0.25,9.9256,2.001,0.834703,0.7048,0.791,0.8125,0.8376,0.8566,0.8784,0.9121,0.9407,0.9697,layer_31,last
step800000-tokens3360B,Arabic,m_mmlu,m_mmlu_ar,0.41375309405940597,5,0.25,6.5316,1.6999,0.838052,0.7657,0.8347,0.8525,0.8727,0.8878,0.905,0.9313,0.9537,0.9765,layer_31,last
step850000-tokens3570B,Arabic,m_mmlu,m_mmlu_ar,0.41367574257425743,5,0.25,7.6535,1.7994,0.843374,0.7439,0.817,0.836,0.8586,0.8753,0.8945,0.9239,0.9489,0.9741,layer_31,last
step900000-tokens3780B,Arabic,m_mmlu,m_mmlu_ar,0.4103496287128713,5,0.25,8.0979,1.8377,0.845189,0.7361,0.8114,0.8311,0.854,0.8712,0.891,0.9215,0.9472,0.9733,layer_31,last
step950000-tokens3990B,Arabic,m_mmlu,m_mmlu_ar,0.39603960396039606,5,0.25,8.7337,1.9056,0.836472,0.7225,0.8047,0.8256,0.8495,0.867,0.8873,0.9186,0.9452,0.9721,layer_31,last
step1000000-tokens4200B,Arabic,m_mmlu,m_mmlu_ar,0.4109684405940594,5,0.25,8.8901,1.921,0.848006,0.7195,0.8031,0.8242,0.8475,0.8653,0.886,0.9179,0.9448,0.9722,layer_31,last
